"Company","Symbol","Link","exchange"
"Affirmative Insurance Holdings","AFFM","https://ih.advfn.com/stock-market/NASDAQ/no-affmq-AFFM/","NASDAQ"
"Affymax","AFFY","https://ih.advfn.com/stock-market/NASDAQ/no-affy-AFFY/","NASDAQ"
"Affymetrix","AFFX","https://ih.advfn.com/stock-market/NASDAQ/affymetrix-AFFX/","NASDAQ"
"Aftermarket","ATAC","https://ih.advfn.com/stock-market/NASDAQ/aftermarket-ATAC/","NASDAQ"
"Agfeed Industries","FEED","https://ih.advfn.com/stock-market/NASDAQ/no-feedq-FEED/","NASDAQ"
"Agilysys","AGYS","https://ih.advfn.com/stock-market/NASDAQ/agilysys-AGYS/","NASDAQ"
"Air Methods","AIRM","https://ih.advfn.com/stock-market/NASDAQ/air-methods-corp-AIRM/","NASDAQ"
"Air T","AIRT","https://ih.advfn.com/stock-market/NASDAQ/air-t-AIRT/","NASDAQ"
"Air Transport Services Grp.","ATSG","https://ih.advfn.com/stock-market/NASDAQ/air-transport-services-ATSG/","NASDAQ"
"Airmedia Grp. Ads","AMCN","https://ih.advfn.com/stock-market/NASDAQ/airmedia-grp-ads-each-representing-two-ordinary-shares-mm-AMCN/","NASDAQ"
"Airspan Networks","AIRN","https://ih.advfn.com/stock-market/NASDAQ/airspan-networks-mm-AIRN/","NASDAQ"
"Airvana","AIRV","https://ih.advfn.com/stock-market/NASDAQ/air-via-mm-AIRV/","NASDAQ"
"Aixtron Aktiengesellschaft Ads","AIXG","https://ih.advfn.com/stock-market/NASDAQ/aixtron-se-ads-each-representing-one-ordinary-share-AIXG/","NASDAQ"
"Akamai","AKAM","https://ih.advfn.com/stock-market/NASDAQ/akamai-technologies-AKAM/","NASDAQ"
"Akeena Solar","AKNS","https://ih.advfn.com/stock-market/NASDAQ/akeena-solar-mm-AKNS/","NASDAQ"
"Akorn","AKRX","https://ih.advfn.com/stock-market/NASDAQ/akorn-AKRX/","NASDAQ"
"Aktieselskabet Dampskibsselskabet","TRMD","https://ih.advfn.com/stock-market/NASDAQ/torm-TRMD/","NASDAQ"
"Aladdin Knowledge Systems Ltd","ALDN","https://ih.advfn.com/stock-market/NASDAQ/aladdin-knowledge-systems-ltd-mm-ALDN/","NASDAQ"
"Alaska Communications","ALSK","https://ih.advfn.com/stock-market/NASDAQ/alaska-communications-sy-ALSK/","NASDAQ"
"Albany Molecular Research","AMRI","https://ih.advfn.com/stock-market/NASDAQ/albany-molecular-research-inc-AMRI/","NASDAQ"
"Aldila","ALDA","https://ih.advfn.com/stock-market/NASDAQ/no-alda-ALDA/","NASDAQ"
"Alexion Pharmaceuticals","ALXN","https://ih.advfn.com/stock-market/NASDAQ/alexion-pharmaceuticals-ALXN/","NASDAQ"
"Alexza","ALXA","https://ih.advfn.com/stock-market/NASDAQ/alexza-ALXA/","NASDAQ"
"Alfacell","ACEL","https://ih.advfn.com/stock-market/NASDAQ/alfacell-ACEL/","NASDAQ"
"Alico","ALCO","https://ih.advfn.com/stock-market/NASDAQ/alico-ALCO/","NASDAQ"
"Align Technology","ALGN","https://ih.advfn.com/stock-market/NASDAQ/align-technology-ALGN/","NASDAQ"
"Alkermes","ALKS","https://ih.advfn.com/stock-market/NASDAQ/alkermes-ALKS/","NASDAQ"
"Allegiant Travel Company","ALGT","https://ih.advfn.com/stock-market/NASDAQ/allegiant-travel-ALGT/","NASDAQ"
"Alliance Bankshares","ABVA","https://ih.advfn.com/stock-market/NASDAQ/alliance-bankshares-ABVA/","NASDAQ"
"Alliance Fiber Optic","AFOP","https://ih.advfn.com/stock-market/NASDAQ/alliance-fiber-optic-AFOP/","NASDAQ"
"Alliance Financial","ALNC","https://ih.advfn.com/stock-market/NASDAQ/alliance-financial-corp-mm-ALNC/","NASDAQ"
"Alliance Holdings Gp L.p.","AHGP","https://ih.advfn.com/stock-market/NASDAQ/alliance-holdings-gp-l-p-representing-limited-partner-interests-delisted-AHGP/","NASDAQ"
"Alliance Resource Partners L.p.","ARLP","https://ih.advfn.com/stock-market/NASDAQ/alliance-resource-partners-ARLP/","NASDAQ"
"Allied Healthcare","AHPI","https://ih.advfn.com/stock-market/NASDAQ/allied-healthcare-products-AHPI/","NASDAQ"
"Allied Healthcare","AHCI","https://ih.advfn.com/stock-market/NASDAQ/allied-healthcare-AHCI/","NASDAQ"
"Allied Motion","AMOT","https://ih.advfn.com/stock-market/NASDAQ/allied-motion-technologies-AMOT/","NASDAQ"
"Allion Healthcare","ALLI","https://ih.advfn.com/stock-market/NASDAQ/allion-healthcare-mm-ALLI/","NASDAQ"
"Allos Therapeutics","ALTH","https://ih.advfn.com/stock-market/NASDAQ/allos-therapeutics-inc-mm-ALTH/","NASDAQ"
"Allot Communications Ltd.","ALLT","https://ih.advfn.com/stock-market/NASDAQ/allot-ALLT/","NASDAQ"
"Alloy","ALOY","https://ih.advfn.com/stock-market/NASDAQ/alloy-mm-ALOY/","NASDAQ"
"Allscripts-misys Healthcare Solutions","MDRX","https://ih.advfn.com/stock-market/NASDAQ/allscripts-healthcare-so-MDRX/","NASDAQ"
"Almost Family","AFAM","https://ih.advfn.com/stock-market/NASDAQ/almost-family-AFAM/","NASDAQ"
"Alnylam Pharmaceuticals","ALNY","https://ih.advfn.com/stock-market/NASDAQ/alnylam-pharmaceuticals-ALNY/","NASDAQ"
"Alphatec Holdings","ATEC","https://ih.advfn.com/stock-market/NASDAQ/alphatec-ATEC/","NASDAQ"
"Altair Nanotechnologies Inc.","ALTI","https://ih.advfn.com/stock-market/NASDAQ/no-alti-ALTI/","NASDAQ"
"Altera","ALTR","https://ih.advfn.com/stock-market/NASDAQ/altair-engineering-ALTR/","NASDAQ"
"Altra Holdings","AIMC","https://ih.advfn.com/stock-market/NASDAQ/altra-industrial-motion-AIMC/","NASDAQ"
"Altus","ALTU","https://ih.advfn.com/stock-market/NASDAQ/altus-ALTU/","NASDAQ"
"Alvarion Ltd.","ALVR","https://ih.advfn.com/stock-market/NASDAQ/allovir-ALVR/","NASDAQ"
"Amag Pharmaceuticals","AMAG","https://ih.advfn.com/stock-market/NASDAQ/amag-pharmaceuticals-AMAG/","NASDAQ"
"Amarin","AMRN","https://ih.advfn.com/stock-market/NASDAQ/amarin-AMRN/","NASDAQ"
"Amazon.com","AMZN","https://ih.advfn.com/stock-market/NASDAQ/amazon-com-AMZN/","NASDAQ"
"Ambassadors","EPAX","https://ih.advfn.com/stock-market/NASDAQ/ambassadors-EPAX/","NASDAQ"
"Ambassadors","AMIE","https://ih.advfn.com/stock-market/NASDAQ/ambassadors-AMIE/","NASDAQ"
"Amcore Financial","AMFI","https://ih.advfn.com/stock-market/NASDAQ/amcore-financial-mm-AMFI/","NASDAQ"
"Amedisys","AMED","https://ih.advfn.com/stock-market/NASDAQ/amedisys-AMED/","NASDAQ"
"Amerco","UHAL","https://ih.advfn.com/stock-market/NASDAQ/amerco-UHAL/","NASDAQ"
"America First Tax Exempt Investors","ATAX","https://ih.advfn.com/stock-market/NASDAQ/america-first-multifamil-ATAX/","NASDAQ"
"America Movil S.a.b. De C.v.","AMOV","https://ih.advfn.com/stock-market/NASDAQ/ny-amov-AMOV/","NASDAQ"
"America Service","ASGR","https://ih.advfn.com/stock-market/NASDAQ/america-service-ASGR/","NASDAQ"
"American Bancorp of New Jersey","ABNJ","https://ih.advfn.com/stock-market/NASDAQ/american-bancorp-n-j-mm-ABNJ/","NASDAQ"
"American Capital Agency","AGNC","https://ih.advfn.com/stock-market/NASDAQ/agnc-investment-AGNC/","NASDAQ"
"American Capital Strategies","ACAS","https://ih.advfn.com/stock-market/NASDAQ/american-capital-strategies-ACAS/","NASDAQ"
"American Claims Evaluation","AMCE","https://ih.advfn.com/stock-market/NASDAQ/american-learning-mm-AMCE/","NASDAQ"
"American Cmnty Bancshares in","ACBA","https://ih.advfn.com/stock-market/NASDAQ/american-cmnty-bancshares-in-mm-ACBA/","NASDAQ"
"American Commercial Lines","ACLI","https://ih.advfn.com/stock-market/NASDAQ/american-commercial-lines-mm-ACLI/","NASDAQ"
"American Dental Partners","ADPI","https://ih.advfn.com/stock-market/NASDAQ/american-dental-partners-ADPI/","NASDAQ"
"American Ecology","ECOL","https://ih.advfn.com/stock-market/NASDAQ/us-ecology-ECOL/","NASDAQ"
"American Electric Technologies","AETI","https://ih.advfn.com/stock-market/NASDAQ/american-electric-techno-AETI/","NASDAQ"
"American Independence","AMIC","https://ih.advfn.com/stock-market/NASDAQ/american-independence-corp-AMIC/","NASDAQ"
"American International Industries","AMIN","https://ih.advfn.com/stock-market/NASDAQ/no-amin-AMIN/","NASDAQ"
"American Italian Pasta Company","AIPC","https://ih.advfn.com/stock-market/NASDAQ/american-italian-pasta-mm-AIPC/","NASDAQ"
"American Medical Alert","AMAC","https://ih.advfn.com/stock-market/NASDAQ/american-medical-alert-AMAC/","NASDAQ"
"American Medical Systems","AMMD","https://ih.advfn.com/stock-market/NASDAQ/american-medical-systems-AMMD/","NASDAQ"
"American National Bankshares","AMNB","https://ih.advfn.com/stock-market/NASDAQ/american-national-banksh-AMNB/","NASDAQ"
"American National Insurance","ANAT","https://ih.advfn.com/stock-market/NASDAQ/american-national-ANAT/","NASDAQ"
"American Pacific","APFC","https://ih.advfn.com/stock-market/NASDAQ/american-pacific-APFC/","NASDAQ"
"American Physicians Capital","ACAP","https://ih.advfn.com/stock-market/NASDAQ/american-physicians-capital-ACAP/","NASDAQ"
"American Physicians Service Grp","AMPH","https://ih.advfn.com/stock-market/NASDAQ/amphastar-pharmaceuticals-AMPH/","NASDAQ"
"American Public Education","APEI","https://ih.advfn.com/stock-market/NASDAQ/american-public-education-APEI/","NASDAQ"
"American Railcar","ARII","https://ih.advfn.com/stock-market/NASDAQ/american-railcar-ARII/","NASDAQ"
"American River Bankshares","AMRB","https://ih.advfn.com/stock-market/NASDAQ/american-river-bankshares-AMRB/","NASDAQ"
"American Science and Engineering","ASEI","https://ih.advfn.com/stock-market/NASDAQ/american-science-and-engineering-inc-ASEI/","NASDAQ"
"American Software","AMSWA","https://ih.advfn.com/stock-market/NASDAQ/american-software-AMSWA/","NASDAQ"
"American Superconductor","AMSC","https://ih.advfn.com/stock-market/NASDAQ/american-superconductor-AMSC/","NASDAQ"
"American Technology","ATCO","https://ih.advfn.com/stock-market/NASDAQ/american-technology-ATCO/","NASDAQ"
"American Woodmark","AMWD","https://ih.advfn.com/stock-market/NASDAQ/american-woodmark-AMWD/","NASDAQ"
"Americas Car-mart","CRMT","https://ih.advfn.com/stock-market/NASDAQ/americas-car-mart-CRMT/","NASDAQ"
"Amerigon Incorporated","ARGN","https://ih.advfn.com/stock-market/NASDAQ/gentherm-inc-mm-ARGN/","NASDAQ"
"Ameris Bancorp","ABCB","https://ih.advfn.com/stock-market/NASDAQ/ameris-bancorp-ABCB/","NASDAQ"
"Amerisafe","AMSF","https://ih.advfn.com/stock-market/NASDAQ/amerisafe-AMSF/","NASDAQ"
"Ameriserv Financial","ASRV","https://ih.advfn.com/stock-market/NASDAQ/ameriserv-financial-ASRV/","NASDAQ"
"Ameriserv Financial Inc. - Ameriserv","ASRVP","https://ih.advfn.com/stock-market/NASDAQ/ameriserv-financial-ASRVP/","NASDAQ"
"Ameristar Casinos","ASCA","https://ih.advfn.com/stock-market/NASDAQ/ameristar-casinos-inc-mm-ASCA/","NASDAQ"
"Ameritrans Capital","AMTC","https://ih.advfn.com/stock-market/NASDAQ/ameritrans-capital-AMTC/","NASDAQ"
"Amerityre","AMTY","https://ih.advfn.com/stock-market/NASDAQ/no-amty-AMTY/","NASDAQ"
"Ames National","ATLO","https://ih.advfn.com/stock-market/NASDAQ/ames-national-ATLO/","NASDAQ"
"Amgen Inc.","AMGN","https://ih.advfn.com/stock-market/NASDAQ/amgen-AMGN/","NASDAQ"
"Amicas","AMCS","https://ih.advfn.com/stock-market/NASDAQ/amicas-AMCS/","NASDAQ"
"Amicus Therapeutics","FOLD","https://ih.advfn.com/stock-market/NASDAQ/amicus-therapeutics-FOLD/","NASDAQ"
"Amkor","AMKR","https://ih.advfn.com/stock-market/NASDAQ/amkor-technology-AMKR/","NASDAQ"
"Ampal","AMPL","https://ih.advfn.com/stock-market/NASDAQ/ampal-AMPL/","NASDAQ"
"Amsurg","AMSG","https://ih.advfn.com/stock-market/NASDAQ/amsurg-corp-AMSG/","NASDAQ"
"Amtech Systems","ASYS","https://ih.advfn.com/stock-market/NASDAQ/amtech-systems-ASYS/","NASDAQ"
"Amtrust Financial Services","AFSI","https://ih.advfn.com/stock-market/NASDAQ/amtrust-financial-services-inc-delisted-AFSI/","NASDAQ"
"Amylin Pharmaceuticals","AMLN","https://ih.advfn.com/stock-market/NASDAQ/amylin-pharmaceuticals-inc-mm-AMLN/","NASDAQ"
"Anadigics","ANAD","https://ih.advfn.com/stock-market/NASDAQ/anadigics-ANAD/","NASDAQ"
"Anadys","ANDS","https://ih.advfn.com/stock-market/NASDAQ/anadys-ANDS/","NASDAQ"
"Analogic","ALOG","https://ih.advfn.com/stock-market/NASDAQ/analogic-ALOG/","NASDAQ"
"Analysts","ANLY","https://ih.advfn.com/stock-market/NASDAQ/analysts-ANLY/","NASDAQ"
"Anaren","ANEN","https://ih.advfn.com/stock-market/NASDAQ/anaren-inc-mm-ANEN/","NASDAQ"
"Anchor Bancorp Wisconsin Inc.","ABCW","https://ih.advfn.com/stock-market/NASDAQ/anchor-bancorp-wisconsin-inc-ABCW/","NASDAQ"
"Angeion","ANGN","https://ih.advfn.com/stock-market/NASDAQ/mgc-diagnostics-corporation-mm-ANGN/","NASDAQ"
"Angiodynamics","ANGO","https://ih.advfn.com/stock-market/NASDAQ/angiodynamics-ANGO/","NASDAQ"
"Angiotech Pharmaceuticals - Common","ANPI","https://ih.advfn.com/stock-market/NASDAQ/angiotech-pharmaceuticals-common-shares-mm-ANPI/","NASDAQ"
"Anika Therapeutics Inc.","ANIK","https://ih.advfn.com/stock-market/NASDAQ/anika-therapeutics-ANIK/","NASDAQ"
"Animal Health International","AHII","https://ih.advfn.com/stock-market/NASDAQ/no-ahii-AHII/","NASDAQ"
"Annapolis Bancorp Inc.","ANNB","https://ih.advfn.com/stock-market/NASDAQ/annapolis-bancorp-inc-mm-ANNB/","NASDAQ"
"Answers","ANSW","https://ih.advfn.com/stock-market/NASDAQ/answers-corp-mm-ANSW/","NASDAQ"
"Ansys","ANSS","https://ih.advfn.com/stock-market/NASDAQ/ansys-ANSS/","NASDAQ"
"Antigenics","AGEN","https://ih.advfn.com/stock-market/NASDAQ/agenus-AGEN/","NASDAQ"
"Apac Customer Services","APAC","https://ih.advfn.com/stock-market/NASDAQ/apac-customer-services-APAC/","NASDAQ"
"Apogee Enterprises","APOG","https://ih.advfn.com/stock-market/NASDAQ/apogee-enterprises-APOG/","NASDAQ"
"Apollo","APOL","https://ih.advfn.com/stock-market/NASDAQ/apollo-education-group-inc-APOL/","NASDAQ"
"Apple","AAPL","https://ih.advfn.com/stock-market/NASDAQ/apple-AAPL/","NASDAQ"
"Appliance Recycling Centers of America","ARCI","https://ih.advfn.com/stock-market/NASDAQ/appliance-recycling-cent-ARCI/","NASDAQ"
"Applied Energetics","AERG","https://ih.advfn.com/stock-market/NASDAQ/no-aerg-AERG/","NASDAQ"
"Applied Materials","AMAT","https://ih.advfn.com/stock-market/NASDAQ/applied-materials-AMAT/","NASDAQ"
"Applied Micro Circuits","AMCC","https://ih.advfn.com/stock-market/NASDAQ/applied-micro-circuits-AMCC/","NASDAQ"
"Applied Signal Technology","APSG","https://ih.advfn.com/stock-market/NASDAQ/applied-signal-technology-inc-mm-APSG/","NASDAQ"
"Approach Resources Inc.","AREX","https://ih.advfn.com/stock-market/NASDAQ/approach-resources-AREX/","NASDAQ"
"Arabian American Development Company","ARSD","https://ih.advfn.com/stock-market/NASDAQ/ny-arsd-ARSD/","NASDAQ"
"Arbinet","ARBX","https://ih.advfn.com/stock-market/NASDAQ/arbinet-ARBX/","NASDAQ"
"Arc Wireless Solutions","ARCW","https://ih.advfn.com/stock-market/NASDAQ/arc-grp-worldwide-inc-ARCW/","NASDAQ"
"Arca Biopharma","ABIO","https://ih.advfn.com/stock-market/NASDAQ/arca-biopharma-ABIO/","NASDAQ"
"Arch Capital","ACGL","https://ih.advfn.com/stock-market/NASDAQ/arch-capital-ACGL/","NASDAQ"
"Arctic Cat Inc.","ACAT","https://ih.advfn.com/stock-market/NASDAQ/arctic-cat-inc-ACAT/","NASDAQ"
"Ardea Biosciences","RDEA","https://ih.advfn.com/stock-market/NASDAQ/ardea-biosciences-inc-mm-RDEA/","NASDAQ"
"Arden","ARDNA","https://ih.advfn.com/stock-market/NASDAQ/arden-ARDNA/","NASDAQ"
"Arena","ARNA","https://ih.advfn.com/stock-market/NASDAQ/arena-pharmaceuticals-ARNA/","NASDAQ"
"Argon","STST","https://ih.advfn.com/stock-market/NASDAQ/argon-STST/","NASDAQ"
"Argonaut","AGII","https://ih.advfn.com/stock-market/NASDAQ/argonaut-AGII/","NASDAQ"
"Ariad","ARIA","https://ih.advfn.com/stock-market/NASDAQ/ariad-ARIA/","NASDAQ"
"Ariba","ARBA","https://ih.advfn.com/stock-market/NASDAQ/ariba-ARBA/","NASDAQ"
"Aries Maritime Transport Limited","RAMS","https://ih.advfn.com/stock-market/NASDAQ/aries-maritime-transport-limited-common-shares-mm-RAMS/","NASDAQ"
"Ark Restaurants","ARKR","https://ih.advfn.com/stock-market/NASDAQ/ark-restaurants-ARKR/","NASDAQ"
"Arkansas Best","ABFS","https://ih.advfn.com/stock-market/NASDAQ/n-arcb-ABFS/","NASDAQ"
"Arm Holdings Plc Ads","ARMH","https://ih.advfn.com/stock-market/NASDAQ/arm-holdings-plc-ads-each-representing-3-ordinary-shares-mm-ARMH/","NASDAQ"
"Arotech","ARTX","https://ih.advfn.com/stock-market/NASDAQ/arotech-ARTX/","NASDAQ"
"Arqule","ARQL","https://ih.advfn.com/stock-market/NASDAQ/arqule-ARQL/","NASDAQ"
"Array","ARRY","https://ih.advfn.com/stock-market/NASDAQ/array-technologies-ARRY/","NASDAQ"
"Arris Grp.","ARRS","https://ih.advfn.com/stock-market/NASDAQ/arris-international-plc-ARRS/","NASDAQ"
"Arrow Financial","AROW","https://ih.advfn.com/stock-market/NASDAQ/arrow-financial-AROW/","NASDAQ"
"Arrowhead Research","ARWR","https://ih.advfn.com/stock-market/NASDAQ/arrowhead-pharmaceuticals-ARWR/","NASDAQ"
"Art Technology Grp.","ARTG","https://ih.advfn.com/stock-market/NASDAQ/art-technology-grp-inc-mm-ARTG/","NASDAQ"
"Artesian","ARTNA","https://ih.advfn.com/stock-market/NASDAQ/artesian-resources-ARTNA/","NASDAQ"
"Arts Way","ARTW","https://ih.advfn.com/stock-market/NASDAQ/arts-way-manufacturing-ARTW/","NASDAQ"
"Ascent Media - Series a Common Stock","ASCMA","https://ih.advfn.com/stock-market/NASDAQ/ascent-capital-grp-series-a-ASCMA/","NASDAQ"
"Ascent Solar Technologies","ASTIZ","https://ih.advfn.com/stock-market/NASDAQ/ascent-solar-technologies-warrants-class-b-7-11-2011-mm-ASTIZ/","NASDAQ"
"Asiainfo Holdings","ASIA","https://ih.advfn.com/stock-market/NASDAQ/asiainfo-linkage-inc-mm-ASIA/","NASDAQ"
"Asm","ASMI","https://ih.advfn.com/stock-market/NASDAQ/asm-ASMI/","NASDAQ"
"Asml Holding N.v. - New York Registry","ASML","https://ih.advfn.com/stock-market/NASDAQ/asml-holding-nv-ASML/","NASDAQ"
"Aspect Medical Systems","ASPM","https://ih.advfn.com/stock-market/NASDAQ/aspect-medical-systems-mm-ASPM/","NASDAQ"
"Aspenbio Pharma","APPY","https://ih.advfn.com/stock-market/NASDAQ/n-biop-APPY/","NASDAQ"
"Asset Acceptance Capital","AACC","https://ih.advfn.com/stock-market/NASDAQ/asset-acceptance-capital-corp-mm-AACC/","NASDAQ"
"Asta Funding","ASFI","https://ih.advfn.com/stock-market/NASDAQ/asta-funding-ASFI/","NASDAQ"
"Astea","ATEA","https://ih.advfn.com/stock-market/NASDAQ/astea-ATEA/","NASDAQ"
"Astec Industries","ASTE","https://ih.advfn.com/stock-market/NASDAQ/astec-industries-ASTE/","NASDAQ"
"Astro-med","ALOT","https://ih.advfn.com/stock-market/NASDAQ/astronova-ALOT/","NASDAQ"
"Astronics","ATRO","https://ih.advfn.com/stock-market/NASDAQ/astronics-ATRO/","NASDAQ"
"Ata Inc. Ads","ATAI","https://ih.advfn.com/stock-market/NASDAQ/ata-creativity-global-ATAI/","NASDAQ"
"Athenahealth","ATHN","https://ih.advfn.com/stock-market/NASDAQ/athenahealth-inc-ATHN/","NASDAQ"
"Atheros Communications","ATHR","https://ih.advfn.com/stock-market/NASDAQ/atheros-communications-inc-mm-ATHR/","NASDAQ"
"Athersys","ATHX","https://ih.advfn.com/stock-market/NASDAQ/athersys-ATHX/","NASDAQ"
"Atlantic American","AAME","https://ih.advfn.com/stock-market/NASDAQ/atlantic-american-AAME/","NASDAQ"
"Atlantic Bancgroup","ATBC","https://ih.advfn.com/stock-market/NASDAQ/atlantic-bancgrp-mm-ATBC/","NASDAQ"
"Atlantic Coast Federal","ACFC","https://ih.advfn.com/stock-market/NASDAQ/atlantic-coast-federal-ACFC/","NASDAQ"
"Atlantic Southern Financial Grp","ASFN","https://ih.advfn.com/stock-market/NASDAQ/atlantic-southern-financial-grp-inc-mm-ASFN/","NASDAQ"
"Atlantic Tele-network","ATNI","https://ih.advfn.com/stock-market/NASDAQ/atn-ATNI/","NASDAQ"
"Atlas Air Worldwide Holdings","AAWW","https://ih.advfn.com/stock-market/NASDAQ/atlas-air-worldwide-AAWW/","NASDAQ"
